"roster_id","team_id","year","person_id","created_at","updated_at"
103,4,20212022,8478067,"2021-10-07 15:30:58.376554-07","2021-10-07 15:30:58.376554-07"
104,4,20212022,8478433,"2021-10-07 15:30:58.780401-07","2021-10-07 15:30:58.780401-07"
105,4,20212022,8478439,"2021-10-07 15:30:58.934975-07","2021-10-07 15:30:58.934975-07"
106,4,20212022,8478500,"2021-10-07 15:30:59.316946-07","2021-10-07 15:30:59.316946-07"
107,4,20212022,8479322,"2021-10-07 15:30:59.650311-07","2021-10-07 15:30:59.650311-07"
108,4,20212022,8479394,"2021-10-07 15:31:00.34273-07","2021-10-07 15:31:00.34273-07"
109,4,20212022,8479550,"2021-10-07 15:31:00.554744-07","2021-10-07 15:31:00.554744-07"
110,4,20212022,8480797,"2021-10-07 15:31:00.989393-07","2021-10-07 15:31:00.989393-07"
111,4,20212022,8481178,"2021-10-07 15:31:01.406286-07","2021-10-07 15:31:01.406286-07"
112,4,20212022,8481428,"2021-10-07 15:31:01.773695-07","2021-10-07 15:31:01.773695-07"
113,4,20212022,8481546,"2021-10-07 15:31:02.181667-07","2021-10-07 15:31:02.181667-07"
114,4,20212022,8482161,"2021-10-07 15:31:02.572931-07","2021-10-07 15:31:02.572931-07"
115,4,20212022,8482654,"2021-10-07 15:31:02.911582-07","2021-10-07 15:31:02.911582-07"
116,5,20212022,8480394,"2021-10-07 15:31:03.3211-07","2021-10-07 15:31:03.3211-07"
117,5,20212022,8470604,"2021-10-07 15:31:03.414938-07","2021-10-07 15:31:03.414938-07"
118,5,20212022,8471215,"2021-10-07 15:31:03.795523-07","2021-10-07 15:31:03.795523-07"
119,5,20212022,8471675,"2021-10-07 15:31:04.29356-07","2021-10-07 15:31:04.29356-07"
120,5,20212022,8471724,"2021-10-07 15:31:04.612114-07","2021-10-07 15:31:04.612114-07"
121,5,20212022,8475208,"2021-10-07 15:31:04.952795-07","2021-10-07 15:31:04.952795-07"
122,5,20212022,8475722,"2021-10-07 15:31:05.266487-07","2021-10-07 15:31:05.266487-07"
123,5,20212022,8475808,"2021-10-07 15:31:05.572284-07","2021-10-07 15:31:05.572284-07"
124,5,20212022,8475810,"2021-10-07 15:31:05.886196-07","2021-10-07 15:31:05.886196-07"
125,5,20212022,8475839,"2021-10-07 15:31:06.274336-07","2021-10-07 15:31:06.274336-07"
126,5,20212022,8476166,"2021-10-07 15:31:06.366487-07","2021-10-07 15:31:06.366487-07"
127,5,20212022,8476875,"2021-10-07 15:31:06.731582-07","2021-10-07 15:31:06.731582-07"
128,5,20212022,8476927,"2021-10-07 15:31:07.059614-07","2021-10-07 15:31:07.059614-07"
129,5,20212022,8476934,"2021-10-07 15:31:07.48159-07","2021-10-07 15:31:07.48159-07"
130,5,20212022,8477244,"2021-10-07 15:31:08.10418-07","2021-10-07 15:31:08.10418-07"
131,5,20212022,8477404,"2021-10-07 15:31:08.414857-07","2021-10-07 15:31:08.414857-07"
132,5,20212022,8477465,"2021-10-07 15:31:08.729036-07","2021-10-07 15:31:08.729036-07"
133,5,20212022,8477953,"2021-10-07 15:31:08.818677-07","2021-10-07 15:31:08.818677-07"
134,5,20212022,8477969,"2021-10-07 15:31:09.17451-07","2021-10-07 15:31:09.17451-07"
135,5,20212022,8478017,"2021-10-07 15:31:09.51178-07","2021-10-07 15:31:09.51178-07"
136,5,20212022,8478043,"2021-10-07 15:31:09.955306-07","2021-10-07 15:31:09.955306-07"
137,5,20212022,8478046,"2021-10-07 15:31:10.245664-07","2021-10-07 15:31:10.245664-07"
138,5,20212022,8478074,"2021-10-07 15:31:10.546882-07","2021-10-07 15:31:10.546882-07"
139,5,20212022,8478507,"2021-10-07 15:31:10.909729-07","2021-10-07 15:31:10.909729-07"
140,5,20212022,8478542,"2021-10-07 15:31:11.28615-07","2021-10-07 15:31:11.28615-07"
141,5,20212022,8478866,"2021-10-07 15:31:11.575935-07","2021-10-07 15:31:11.575935-07"
142,5,20212022,8479193,"2021-10-07 15:31:11.868404-07","2021-10-07 15:31:11.868404-07"
143,5,20212022,8479512,"2021-10-07 15:31:12.258322-07","2021-10-07 15:31:12.258322-07"
144,5,20212022,8479539,"2021-10-07 15:31:12.629264-07","2021-10-07 15:31:12.629264-07"
145,5,20212022,8479944,"2021-10-07 15:31:13.014296-07","2021-10-07 15:31:13.014296-07"
146,5,20212022,8480058,"2021-10-07 15:31:13.304592-07","2021-10-07 15:31:13.304592-07"
147,5,20212022,8480836,"2021-10-07 15:31:13.677926-07","2021-10-07 15:31:13.677926-07"
148,5,20212022,8480842,"2021-10-07 15:31:14.016771-07","2021-10-07 15:31:14.016771-07"
149,5,20212022,8480945,"2021-10-07 15:31:14.383778-07","2021-10-07 15:31:14.383778-07"
150,5,20212022,8481591,"2021-10-07 15:31:14.775343-07","2021-10-07 15:31:14.775343-07"
151,5,20212022,8481594,"2021-10-07 15:31:15.329606-07","2021-10-07 15:31:15.329606-07"
152,5,20212022,8481703,"2021-10-07 15:31:15.614427-07","2021-10-07 15:31:15.614427-07"
153,5,20212022,8482055,"2021-10-07 15:31:15.894822-07","2021-10-07 15:31:15.894822-07"
154,5,20212022,8482241,"2021-10-07 15:31:16.2577-07","2021-10-07 15:31:16.2577-07"
155,6,20212022,8470638,"2021-10-07 15:31:16.774943-07","2021-10-07 15:31:16.774943-07"
156,6,20212022,8473419,"2021-10-07 15:31:17.104526-07","2021-10-07 15:31:17.104526-07"
157,6,20212022,8473422,"2021-10-07 15:31:17.458023-07","2021-10-07 15:31:17.458023-07"
158,6,20212022,8475186,"2021-10-07 15:31:17.814186-07","2021-10-07 15:31:17.814186-07"
159,6,20212022,8475225,"2021-10-07 15:31:18.144058-07","2021-10-07 15:31:18.144058-07"
160,6,20212022,8475287,"2021-10-07 15:31:18.48044-07","2021-10-07 15:31:18.48044-07"
161,6,20212022,8475745,"2021-10-07 15:31:18.858646-07","2021-10-07 15:31:18.858646-07"
162,6,20212022,8475762,"2021-10-07 15:31:19.167981-07","2021-10-07 15:31:19.167981-07"
163,6,20212022,8475780,"2021-10-07 15:31:19.494871-07","2021-10-07 15:31:19.494871-07"
164,6,20212022,8475791,"2021-10-07 15:31:19.789635-07","2021-10-07 15:31:19.789635-07"
165,6,20212022,8476422,"2021-10-07 15:31:20.257923-07","2021-10-07 15:31:20.257923-07"
166,6,20212022,8476891,"2021-10-07 15:31:20.640644-07","2021-10-07 15:31:20.640644-07"
167,6,20212022,8476999,"2021-10-07 15:31:21.265932-07","2021-10-07 15:31:21.265932-07"
168,6,20212022,8477234,"2021-10-07 15:31:21.364479-07","2021-10-07 15:31:21.364479-07"
169,6,20212022,8477320,"2021-10-07 15:31:21.538941-07","2021-10-07 15:31:21.538941-07"
170,6,20212022,8477365,"2021-10-07 15:31:22.09735-07","2021-10-07 15:31:22.09735-07"
171,6,20212022,8477508,"2021-10-07 15:31:22.820144-07","2021-10-07 15:31:22.820144-07"
172,6,20212022,8477931,"2021-10-07 15:31:23.137422-07","2021-10-07 15:31:23.137422-07"
173,6,20212022,8477956,"2021-10-07 15:31:23.445006-07","2021-10-07 15:31:23.445006-07"
174,6,20212022,8478415,"2021-10-07 15:31:23.807026-07","2021-10-07 15:31:23.807026-07"
175,6,20212022,8478443,"2021-10-07 15:31:24.176437-07","2021-10-07 15:31:24.176437-07"
176,6,20212022,8478498,"2021-10-07 15:31:24.47368-07","2021-10-07 15:31:24.47368-07"
